Country;Capital;Code;Continent
Sierra Leone;Freetown;SLE;Africa
Singapore;Singapore;SGP;Asia
Slovakia;Bratislava;SVK;Europe
Slovenia;Ljubljana;SVN;Europe
Solomon Islands;Honiara;SLB;Oceania
Somalia;Mogadishu;SOM;Africa
South Africa;Pretoria ¹;ZAF;Africa
Spain;Madrid;ESP;Europe
Sri Lanka;Colombo;LKA;Asia
Sudan;Khartoum;SDN;Africa
Suriname;Paramaribo;SUR;Americas
Svalbard;Longyearbyen;SJM;Europe
Swaziland;Mbabane ²;SWZ;Africa
Sweden;Stockholm;SWE;Europe
Switzerland;Bern;CHE;Europe
Syria;Damascus;SYR;Asia
Taiwan;Taipei;TWN;Asia
Tajikistan;Dushanbe;TJK;Asia
Tanzania;Dar es Salaam;TZA;Africa
Thailand;Bangkok;THA;Asia
Togo;Lome;TGO;Africa
Tokelau;none;TKL;Oceania
Tonga;Nuku'alofa;TON;Oceania
Trinidad and Tobago;Port-of-Spain;TTO;Americas
Tunisia;Tunis;TUN;Africa
Turkey;Ankara;TUR;Asia
Turkmenistan;Ashgabat;TKM;Asia
Turks and Caicos Islands;Grand Turk;TCA;Americas
Tuvalu;Funafuti;TUV;Oceania
Uganda;Kampala;UGA;Africa
Ukraine;Kiev;UKR;Europe
United Arab Emirates;Abu Dhabi;ARE;Asia
United Kingdom;London;GBR;Europe
United States;Washington, DC;USA;Americas
Uruguay;Montevideo;URY;Americas
Uzbekistan;Tashkent (Toshkent);UZB;Asia
Vanuatu;Port-Vila;VUT;Oceania
Venezuela;Caracas;VEN;Americas
Vietnam;Hanoi;VNM;Asia
Virgin Islands;Charlotte Amalie;VIR;Americas
Wallis and Futuna;Mata-Utu (on Ile Uvea);WLF;Oceania
Western Sahara;none;ESH;Africa
Western Samoa;Apia;WSM;Oceania
Yemen;Sanaa;YEM;Asia
Zaire (Dem Rep of Congo);Kinshasa;ZAR;Africa
Zambia;Lusaka;ZWB;Africa
Zimbabwe;Harare;ZWE;Africa
